Commune;Date_Conseil_Municipal;Annee_Mois_Deliberation;Numero_Deliberation;Objet_Deliberation;Texte_Deliberation
Mogneneins;20170119;201701;20170101;Demandes subvention travaux accessibilité Mairie;"Monsieur le Maire rappelle au conseil Municipal que dans le cadre de l’Ad’AP les travaux d’accessibilité des bâtiments de la Mairie étaient planifiés sur 2017 et seront prévu au budget 2017.
Le Cabinet DUGEAI-PEYRAUD ARCHITECTES nous a transmis un devis d’un montant de 49 600.00 € HT (prix estimatif).

Il précise que cet investissement serait susceptible de bénéficier 

- d’une subvention de l’Etat au titre de la DETR (45%).
- d’une subvention du Conseil Départemental
- d’une subvention de l’Etat au titre des travaux d’intérêt local (Ministère de l’Intérieur).

Le Conseil Municipal, après en avoir délibéré, à l’unanimité AUTORISE Monsieur le Maire à :

- FAIRE les demandes de subvention

- SIGNER tout document en lien avec ces demandes"
Mogneneins;20170119;201701;20170102;Election d’un second délégué suppléant au SIEA;"Monsieur le Maire fait part aux membres du Conseil municipal que le règlement intérieur ainsi que les statuts du SIEA (Syndicat Intercommunal d’Energie et de E-communication de l’Ain) ont été modifiés lors de son assemblée générale du 9 avril dernier. 

Cette modification de statuts propose un nombre de suppléants du double du nombre de délégués titulaires donc pour notre commune : 1 titulaire et 2 suppléants.
Il faut donc nommer un second suppléant. Monsieur le Maire demande aux conseillers si l’un d’entre eux désire se porter volontaire. 

Monsieur Franck CALAS propose sa candidature.

Le Conseil Municipal, à l'unanimité,

- ELIT Monsieur Franck CALAS comme second délégué suppléant. 

- AUTORISE Monsieur le Maire à signer tout document relatif à cette décision"
Mogneneins;20160119;201701;20170103;Remboursement frais de transport;"Monsieur le Maire donne la parole à Michel AUBRUN.

Il nous fait part de la demande de l’employé actuellement en formation à la MFR La Vernée concernant le remboursement de ses frais de transport pour la durée totale de la formation.

Le remboursement sera effectué à partir des taux en vigueur des frais de déplacement du Centre de Gestion de l’Ain (barème applicable depuis le 1er août 2008) et sur la base du trajet Mogneneins – Péronnas.

Le Conseil Municipal, à l'unanimité,

- ACCEPTE que les indemnités kilométriques de cet employé soient remboursées 

- AUTORISE Monsieur le Maire à signer tout document relatif à cette décision
"
Mogneneins;20170119;201701;20170104;Remboursement frais affranchissement par le SIVOS;"Monsieur le Maire rappelle que la commune de Mogneneins s’est dotée d’une machine à affranchir. Afin d’amortir les coûts de fonctionnement, le SIVOS à la possibilité d’affranchir son courrier sous un compte propre, mais la facturation sera adressée à la commune de Mogneneins.

En fin d’année, la commune de Mogneneins fera un état des affranchissements du SIVOS et adressera un titre correspondant au montant dû.

Il convient donc d’autoriser Monsieur le Maire à demander le remboursement de l’affranchissement du SIVOS pour l’année écoulée (2016) ainsi que pour les années à venir.

Après en avoir délibéré, le conseil, à l’unanimité, 

- AUTORISE Monsieur le Maire à facturer les frais d’affranchissement au SIVOS

- AUTORISE Monsieur le Maire à signer tout document relatif à cette décision"
Mogneneins;20170119;201701;20170105;Vente de foin année 2016;"Monsieur le Maire explique à l’ensemble du conseil que lors de la vente aux enchères du 7 janvier 2017 aucun acheteur ne s’est présenté pour faire l’acquisition des 8 lots du Paqui.
Un administré est prêt à en faire l’acquisition au prix de 600 €.

S’agissant d’une vente sans enchères, il est décidé de vendre l’ensemble des 8 lots pour un montant de 600 euros TTC.

Il est précisé que les lots devront être fauchés avant le 10 juillet 2017.

Après en avoir délibéré, l’ensemble des membres présent

- ACCEPTE que Monsieur le Maire vende ces 8 lots au prix de 600.00 euros.

- AUTORISE Monsieur le Maire à signer tout document relatif à cette décision"
Mogneneins;20170216;201702;20170201;Avenants travaux commerce;"Le Conseil Municipal, légalement convoqué, s’est réuni sous la présidence de M. Jean-Pierre CHAMPION, Maire.

Présents : MM. Michel AUBRUN, Sandrine BOUDIGUES, Franck CALAS, Jean-Pierre CHAMPION, Eric DE CLAVIERE, Lionel GENTIT, Marie-Pierre GINTRAND, Philippe MABRU, Didier REY, Jocelyne ROLLET, Gérard SZYNDRALEWIEZ, Nathalie VERNUS-PROST formant la majorité des membres en exercice

Excusés : MM. Mélusine BALLIF (donne pouvoir à Franck CALAS), Thierry CHABANON (donne pouvoir à Michel AUBRUN), Elisabeth PASSOT (donne pouvoir à Jocelyne ROLLET)

Secrétaire de séance élue : Mme Jocelyne ROLLET

Date convocation :  11 février 2017
Membres en exercice : 15     Présents : 12      Votants : 15
***
Le quorum étant atteint, le Conseil Municipal peut délibérer

Monsieur Le Maire informe le Conseil Municipal que plusieurs avenants ont été reçus concernant les travaux de réhabilitation et mise en conformité du commerce « Le Cheval Blanc ».
Cela concerne : 
-  le Lot n°1 – Avenant n° 3 (Ent. RAE) pour une moins value de 4 429.40 € TTC ce qui porte le montant du marché à 66 670.97 € TTC
-  le Lot n°7 – Avenant n° 2 (Ent. ARELEC) pour une plus value de 630.43 € TTC ce qui porte le montant du marché à 26 248.33 € TTC
-  Le lot n°9 – Avenant n°1 (CUNY) pour une plus value de 744.00 € TTC ce qui porte le montant du marché à 19 104.00 € TTC

Après en avoir délibéré, l’ensemble des conseillers

- Accepte l’avenant n°3 de l’Ent. RAE (lot n°1) pour une moins value de 4 429.40 € TTC 
- Accepte l’avenant n°2 de l’Ent. ARELEC (lot n°7) pour une plus value de 630.43 € TTC
- Accepte l’avenant n°1 de la SAS CUNY (lot n°9) pour une plus value de 744.00 € TTC
- Autorise Monsieur le Maire à signer ces avenants.



Ainsi fait et délibéré, le jour, mois et an que dessus.
     Ont signé au registre les membres présents.
Pour copie conforme,
 
 Le Maire, 
 Jean-Pierre CHAMPION
"
Mogneneins;20170216;201702;20170202;Désignation d’un conseiller à la CLECT;"Le Conseil Municipal, légalement convoqué, s’est réuni sous la présidence de M. Jean-Pierre CHAMPION, Maire.

Présents : MM. Michel AUBRUN, Sandrine BOUDIGUES, Franck CALAS, Jean-Pierre CHAMPION, Eric DE CLAVIERE, Lionel GENTIT, Marie-Pierre GINTRAND, Philippe MABRU, Didier REY, Jocelyne ROLLET, Gérard SZYNDRALEWIEZ, Nathalie VERNUS-PROST formant la majorité des membres en exercice

Excusés : MM. Mélusine BALLIF (donne pouvoir à Franck CALAS), Thierry CHABANON (donne pouvoir à Michel AUBRUN), Elisabeth PASSOT (donne pouvoir à Jocelyne ROLLET)

Secrétaire de séance élue : Mme Jocelyne ROLLET

Date convocation :  11 février 2017
Membres en exercice : 15     Présents : 12      Votants : 15
***
Le quorum étant atteint, le Conseil Municipal peut délibérer

Monsieur Le Maire explique que suite à la réunion du conseil communautaire du 24 janvier 2017 la Commission Locale d’Evaluation des Charges Transférées a été créée. Celle-ci est composée de membres des conseils municipaux des communes de la Communauté de Communes Val de Saône Centre.
Chacune d’entre elles doit avoir un représentant. Monsieur Michel AUBRUN se propose d’être le représentant. 


Après en avoir délibéré, l’ensemble des conseillers, à l’unanimité

- Désigne Monsieur Michel AUBRUN comme représentant de la commune au sein de la CLECT
- Autorise Monsieur le Maire à signer tout document relatif à cette nomination.



Ainsi fait et délibéré, le jour, mois et an que dessus.
     Ont signé au registre les membres présents.
Pour copie conforme,
 
 Le Maire, 
 Jean-Pierre CHAMPION
"
Mogneneins;20170216;201702;20170203;Nomination des conseillers participant aux commissions communautaires;"Le Conseil Municipal, légalement convoqué, s’est réuni sous la présidence de M. Jean-Pierre CHAMPION, Maire.

Présents : MM. Michel AUBRUN, Sandrine BOUDIGUES, Franck CALAS, Jean-Pierre CHAMPION, Eric DE CLAVIERE, Lionel GENTIT, Marie-Pierre GINTRAND, Philippe MABRU, Didier REY, Jocelyne ROLLET, Gérard SZYNDRALEWIEZ, Nathalie VERNUS-PROST formant la majorité des membres en exercice

Excusés : MM. Mélusine BALLIF (donne pouvoir à Franck CALAS), Thierry CHABANON (donne pouvoir à Michel AUBRUN), Elisabeth PASSOT (donne pouvoir à Jocelyne ROLLET)

Secrétaire de séance élue : Mme Jocelyne ROLLET

Date convocation :  11 février 2017
Membres en exercice : 15     Présents : 12      Votants : 15
***
Le quorum étant atteint, le Conseil Municipal peut délibérer

Monsieur Le Maire rappelle que les membres du conseil municipal sont invités, pour le 27 février 2017 au plus tard, à proposer à la Communauté de Communes Val de Saône Centre des membres pour intégrer les commissions thématiques dans la limite des places disponibles, afin de favoriser une représentation de toutes les communes au sein de ces commissions.

Le Conseil Municipal, à l’unanimité : 
- Propose pour intégrer les commissions thématiques dans la limite des places disponibles comme suit : 
1/ Commission Sport - Transport : Monsieur Franck CALAS et si des sièges 
restent à pourvoir Monsieur Gérard SZYNDRALEWIEZ
2/ Commission Social : Madame Jocelyne ROLLET

- Autorise Monsieur le Maire à signer tout document relatif à cette nomination.



Ainsi fait et délibéré, le jour, mois et an que dessus.
     Ont signé au registre les membres présents.
Pour copie conforme,
 
 Le Maire, 
 Jean-Pierre CHAMPION
"
Mogneneins;20170216;201702;20170204;Transfert de la compétence urbanisme à la CCVSC;"Le Conseil Municipal, légalement convoqué, s’est réuni sous la présidence de M. Jean-Pierre CHAMPION, Maire.

Présents : MM. Michel AUBRUN, Sandrine BOUDIGUES, Franck CALAS, Jean-Pierre CHAMPION, Eric DE CLAVIERE, Lionel GENTIT, Marie-Pierre GINTRAND, Philippe MABRU, Didier REY, Jocelyne ROLLET, Gérard SZYNDRALEWIEZ, Nathalie VERNUS-PROST formant la majorité des membres en exercice

Excusés : MM. Mélusine BALLIF (donne pouvoir à Franck CALAS), Thierry CHABANON (donne pouvoir à Michel AUBRUN), Elisabeth PASSOT (donne pouvoir à Jocelyne ROLLET)

Secrétaire de séance élue : Mme Jocelyne ROLLET

Date convocation :  11 février 2017
Membres en exercice : 15     Présents : 12      Votants : 15
***
Le quorum étant atteint, le Conseil Municipal peut délibérer


Vu le code Général des Collectivités Territoriales (CGCT) et notamment ses articles L.5211-17 et L.214-16,
Vu la loi n°214-366 du 24 mars 2014 pour l’Accès au Logement et un Urbanisme Rénové (ALUR) et notamment son article 136,
Vu le Code de l’Urbanisme,
Vu les compétences actuelles exercées par la Communauté de Communes Val de Saône Centre créée par arrêté préfectoral du 6 décembre 2016 par fusion des Communauté de Communes Val de Saône – Chalaronne et Montmerle 3 Rivières au 1er janvier 2017,

Monsieur le Maire expose :
La loi n°2014-366 du 24 mars 2014 pour l’Accès au Logement et un Urbanisme Rénové (loi ALUR) prévit qu’une Communauté de Communes existante à la date de publication de la présente loi et qui n’est pas compétente en matière de plan local d’urbanisme, de documents d’urbanisme ou de carte communale, le devient le lendemain de l’expiration d’un délai de trois ans à compter de la publication de la dite loi (27 mars 2014).
Toutefois, les communes peuvent s’opposer à la mise en œuvre de cette disposition de transfert automatique si, dans les trois mois précédent le terme du délai de trois ans, au moins 25 % des communes représentant au moins 20 % de la population s’y oppose.

Monsieur le Maire propose à l’assemblée de se prononcer sur ce transfert de compétence.

Considérant qu’il apparait particulièrement inopportun de transférer au 27 mars 2017 la compétence urbanisme à l’échelon intercommunal alors que la fusion est intervenue au 1er janvier 2017 et qu’une phase d’études, de débats et de concertation n’a pas encore été engagée,








Après en avoir délibéré, le Conseil Municipal, DECIDE à 10 voix contre et 5 abstentions : 

- De s’opposer (pour le moment) au transfert de la compétence urbanisme « Plan Local d’Urbanisme, document d’urbanisme en tenant lieu et carte communale » à la Communauté de Communes Val de Saône Centre,

- D’autoriser Monsieur le Maire à prendre toute disposition nécessaire à l’exécution de la présente.



Ainsi fait et délibéré, le jour, mois et an que dessus.
     Ont signé au registre les membres présents.
Pour copie conforme,
 
 Le Maire, 
 Jean-Pierre CHAMPION
"
Mogneneins;20170216;201702;20170205;Remboursement frais Villes internet;"Le Conseil Municipal, légalement convoqué, s’est réuni sous la présidence de M. Jean-Pierre CHAMPION, Maire.

Présents : MM. Michel AUBRUN, Sandrine BOUDIGUES, Franck CALAS, Jean-Pierre CHAMPION, Eric DE CLAVIERE, Lionel GENTIT, Marie-Pierre GINTRAND, Philippe MABRU, Didier REY, Jocelyne ROLLET, Gérard SZYNDRALEWIEZ, Nathalie VERNUS-PROST formant la majorité des membres en exercice

Excusés : MM. Mélusine BALLIF (donne pouvoir à Franck CALAS), Thierry CHABANON (donne pouvoir à Michel AUBRUN), Elisabeth PASSOT (donne pouvoir à Jocelyne ROLLET)

Secrétaire de séance élue : Mme Jocelyne ROLLET

Date convocation :  11 février 2017
Membres en exercice : 15     Présents : 12      Votants : 15
***
Le quorum étant atteint, le Conseil Municipal peut délibérer


Monsieur Le Maire donne la parole à Monsieur Michel AUBRUN qui rappelle au Conseil Municipal qu’en tant que membre du Conseil d’administration de l’association Villes Internet Monsieur Jean-Pierre CHAMPION s’est rendu à l’Assemblée Générale qui a eu lieu le 1er février 2017 à Lille.

Il demande le remboursement de 251.38 € TTC somme qui correspond à ses frais de transport et d’hébergement.  

Après en avoir délibéré, le Conseil Municipal, à 14 voix pour et 1 abstention : 

- ACCEPTE de rembourser la somme de 251.38 € à Monsieur CHAMPION Jean-Pierre 



Ainsi fait et délibéré, le jour, mois et an que dessus.
     Ont signé au registre les membres présents.
Pour copie conforme,
 
 Le Maire, 
 Jean-Pierre CHAMPION
"
